Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
NUE,NUCOR CORP,0.0668,-,-,-,-,-,-,-,-,-,4.1929,-,-,-,-,-,-,-
MNST,MONSTER BEVERAGE CORP,0.0973,0.41,-,-,-,-,3.7417,-,-,-,-,-,-,-,-,-,-,-
MLM,MARTIN MARIETTA MATERIALS,0.0656,-,-,-,-,-,-,-,-,-,4.1336,-,-,-,-,-,-,-
GS,GOLDMAN SACHS GROUP INC,0.4677,-,-,3.6813,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WFC,WELLS FARGO + CO,0.4671,-,-,3.6764,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DE,DEERE + CO,0.2189,-,-,-,-,-,-,-,-,2.5718,-,-,-,-,-,-,-,1.34
CCI,CROWN CASTLE INC,0.0632,-,-,-,-,-,-,-,-,-,-,4.0557,-,-,-,-,-,-
VMC,VULCAN MATERIALS CO,0.066,-,-,-,-,-,-,-,-,-,3.995,-,-,-,-,-,-,-
GEV,GE VERNOVA INC,0.3152,-,-,-,-,-,-,-,-,3.7029,-,-,-,-,-,-,-,-
VST,VISTRA CORP,0.0878,-,-,-,-,-,-,-,-,-,-,-,3.9035,-,-,-,-,-
D,DOMINION ENERGY INC,0.0878,-,-,-,-,-,-,-,-,-,-,-,3.8949,-,-,-,-,-
BKR,BAKER HUGHES CO,0.0934,0.29,-,-,-,-,-,3.5789,-,-,-,-,-,-,-,-,-,-
TJX,TJX COMPANIES INC,0.2763,-,-,-,-,3.6801,-,-,-,-,-,-,-,-,-,-,-,-
VTR,VENTAS INC,0.0598,-,-,-,-,-,-,-,-,-,-,3.83,-,-,-,-,-,-
EOG,EOG RESOURCES INC,0.0988,-,-,-,-,-,-,3.7822,-,-,-,-,-,-,-,-,-,-
KMI,KINDER MORGAN INC,0.0971,-,-,-,-,-,-,3.7187,-,-,-,-,-,-,-,-,-,-
HON,HONEYWELL INTERNATIONAL INC,0.2354,0.73,-,-,-,-,-,-,-,2.7634,-,-,-,-,-,-,-,-
PSX,PHILLIPS 66,0.0949,-,-,-,-,-,-,3.6213,-,-,-,-,-,-,-,-,-,-
EXC,EXELON CORP,0.0759,0.24,-,-,-,-,-,-,-,-,-,-,3.3794,-,-,-,-,-
LOW,LOWE S COS INC,0.2577,-,-,-,-,3.4323,-,-,-,-,-,-,-,-,-,-,-,-
XEL,XCEL ENERGY INC,0.0757,0.24,-,-,-,-,-,-,-,-,-,-,3.369,-,-,-,-,-
VLO,VALERO ENERGY CORP,0.0936,-,-,-,-,-,-,3.5813,-,-,-,-,-,-,-,-,-,-
ABT,ABBOTT LABORATORIES,0.3158,-,-,-,-,-,-,-,3.3422,-,-,-,-,-,-,-,-,-
BEAM,BEAM THERAPEUTICS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.63
UBER,UBER TECHNOLOGIES INC,0.2831,-,-,-,-,-,-,-,-,3.3258,-,-,-,-,-,-,-,-
RKLB,ROCKET LAB CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.43,-,-,-
MPC,MARATHON PETROLEUM CORP,0.0866,-,-,-,-,-,-,3.3149,-,-,-,-,-,-,-,-,-,-
VICI,VICI PROPERTIES INC,0.0508,-,-,-,-,-,-,-,-,-,-,3.2702,-,-,-,-,-,-
ETR,ENTERGY CORP,0.0723,-,-,-,-,-,-,-,-,-,-,-,3.2183,-,-,-,-,-
MS,MORGAN STANLEY,0.3701,-,-,2.9128,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OMC,OMNICOM GROUP,0.0416,-,-,-,3.2319,-,-,-,-,-,-,-,-,-,-,-,-,-
PPG,PPG INDUSTRIES INC,0.0417,-,-,-,-,-,-,-,-,-,3.1948,-,-,-,-,-,-,-
EXR,EXTRA SPACE STORAGE INC,0.0498,-,-,-,-,-,-,-,-,-,-,3.1852,-,-,-,-,-,-
OKE,ONEOK INC,0.0822,-,-,-,-,-,-,3.14,-,-,-,-,-,-,-,-,-,-
CSGP,COSTAR GROUP INC,0.0471,0.15,-,-,-,-,-,-,-,-,-,3.013,-,-,-,-,-,-
SBUX,STARBUCKS CORP,0.1826,0.57,-,-,-,2.4312,-,-,-,-,-,-,-,-,-,-,-,-
STLD,STEEL DYNAMICS INC,0.0404,-,-,-,-,-,-,-,-,-,3.1129,-,-,-,-,-,-,-
TGT,TARGET CORP,0.0793,-,-,-,-,-,3.0482,-,-,-,-,-,-,-,-,-,-,-
RBLX,ROBLOX CORP -CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.09
PEG,PUBLIC SERVICE ENTERPRISE GP,0.0672,-,-,-,-,-,-,-,-,-,-,-,2.9952,-,-,-,-,-
C,CITIGROUP INC,0.3445,-,-,2.7117,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYV,LIVE NATION ENTERTAINMENT IN,0.039,-,-,-,3.0099,-,-,-,-,-,-,-,-,-,-,-,-,-
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.67,-,-,1.37
